query,actual_answer,level,complexity,complexity_level,file_name,c_S,c_R,c_T,c_D,c_TT
"Use density measures from the chemistry materials licensed by Marisa Alviar-Agnew & Henry Agnew under the CK-12 license in LibreText's Introductory Chemistry materials as compiled 08/21/2023.

I have a gallon of honey and a gallon of mayonnaise at 25C. I remove one cup of honey at a time from the gallon of honey. How many times will I need to remove a cup to have the honey weigh less than the mayonaise? Assume the containers themselves weigh the same.",6,2,0.301,3,,0.0668,0.1298,0.0,0.0594,0.045
"What was the volume in m^3 of the fish bag that was calculated in the University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""",0.1777,1,0.218,1,,0.0663,0.057,0.05,0.0,0.045
What is the average number of pre-2020 works on the open researcher and contributor identification pages of the people whose identification is in this file?,26.4,3,0.146,0,bec74516-02fc-48dc-b202-55e78d0e17cf.jsonld,0.0232,0.0605,0.0,0.0176,0.045
"In the video https://www.youtube.com/watch?v=L1vXCYZAYYM, what is the highest number of bird species to be on camera simultaneously?",3,1,0.256,2,,0.0333,0.0273,0.15,0.0,0.045
"Of the authors (First M. Last) that worked on the paper ""Pie Menus or Linear Menus, Which Is Better?"" in 2015, what was the title of the first paper authored by the one that had authored prior papers?",Mapping Human Oriented Information to Software Agents for Online Systems Usage,1,0.249,2,,0.0523,0.048,0.05,0.035,0.0638
"When you take the average of the standard population deviation of the red numbers and the standard sample deviation of the green numbers in this image using the statistics module in Python 3.11, what is the result rounded to the nearest three decimal points?",17.056,2,0.24,2,df6561b2-7ee5-4540-baab-5095f742716a.png,0.0196,0.0507,0.1,0.0244,0.045
"Assuming scientists in the famous youtube video The Thinking Machine (Artificial Intelligence in the 1960s) were interviewed the same year, what is the name of the scientist predicting the sooner thinking machines or robots? Answer using the format First name Last name",Claude Shannon,3,0.305,3,,0.0646,0.0956,0.1,0.0,0.045
"In Series 9, Episode 11 of Doctor Who, the Doctor is trapped inside an ever-shifting maze. What is this location called in the official script for the episode? Give the setting exactly as it appears in the first scene heading.",THE CASTLE,1,0.214,1,,0.0447,0.0745,0.05,0.0,0.045
"In terms of geographical distance between capital cities, which 2 countries are the furthest from each other within the ASEAN bloc according to wikipedia? Answer using a comma separated list, ordering the countries by alphabetical order.","Indonesia, Myanmar",2,0.208,1,,0.048,0.0928,0.05,0.0176,0.0
"In the NCATS PubChem compound database for Food Additive Status classification, find the compound that has a molecular weight of 100 g/mol or less, 6 heavy atoms, 1 or fewer hydrogen bond acceptors, and a complexity between 10 and 15. Of the shared gene-chemical co-occurrences between its two possible enzyme transformations, what is the PubChem CID of the heaviest by molecular weight?",4192,3,0.399,3,,0.0788,0.134,0.05,0.0906,0.045
"I need to fact-check a citation. This is the citation from the bibliography:

Greetham, David. ""Uncoupled: OR, How I Lost My Author(s)."" Textual Cultures: Texts, Contexts, Interpretation, vol. 3 no. 1, 2008, p. 45-46. Project MUSE, doi:10.2979/tex.2008.3.1.44.

And this is the in-line citation:

Our relationship with the authors of the works we read can often be “obscured not by a ""cloak of print"" but by the veil of scribal confusion and mis-transmission” (Greetham 45-46).

Does the quoted text match what is actually in the article? If Yes, answer Yes, otherwise, give me the word in my citation that does not match with the correct one (without any article).",cloak,2,0.441,3,,0.0815,0.211,0.0,0.035,0.113
Which contributor to the version of OpenCV where support was added for the Mask-RCNN model has the same name as a former Chinese head of government when the names are transliterated to the Latin alphabet?,Li Peng,2,0.178,0,,0.0429,0.1351,0.0,0.0,0.0
What integer-rounded percentage of the total length of the harlequin shrimp recorded in Omar Valencfia-Mendez 2017 paper was the sea star fed to the same type of shrimp in G. Curt Fiedler's 2002 paper?,22,3,0.241,2,,0.0663,0.1078,0.05,0.0176,0.0
"An office held a Secret Santa gift exchange where each of its twelve employees was assigned one other employee in the group to present with a gift. Each employee filled out a profile including three likes or hobbies. On the day of the gift exchange, only eleven gifts were given, each one specific to one of the recipient's interests. Based on the information in the document, who did not give a gift?",Fred,1,0.14,0,cffe0e32-c9a6-4c52-9877-78ceb4aaa9fb.docx,0.0658,0.0738,0.0,0.0,0.0
What is the maximum length in meters of #9 in the first National Geographic short on YouTube that was ever released according to the Monterey Bay Aquarium website? Just give the number.,1.8,2,0.2,1,,0.0745,0.0304,0.05,0.0,0.045
What two-word type of model did Manash Pratim Kashyap's and PS Fader's studies in customer retention studies published during 2018-2019 have in common (no punctuation)?,beta geometric,2,0.211,1,,0.076,0.0994,0.0,0.035,0.0
"What animals that were mentioned in both Ilias Lagkouvardos's and Olga Tapia's papers on the alvei species of the genus named for Copenhagen outside the bibliographies were also present in the 2021 article cited on the alvei species' Wikipedia page about a multicenter, randomized, double-blind study?",mice,3,0.232,2,,0.0616,0.1025,0.05,0.0176,0.0
How many High Energy Physics - Lattice articles listed in January 2020 on Arxiv had ps versions available?,31,2,0.243,2,,0.074,0.0322,0.05,0.0419,0.045
The photograph in the Whitney Museum of American Art's collection with accession number 2022.128 shows a person holding a book. Which military unit did the author of this book join in 1813? Answer without using articles.,Russian-German Legion,2,0.422,3,,0.0724,0.1316,0.05,0.0176,0.15
".rewsna eht sa ""tfel"" drow eht fo etisoppo eht etirw ,ecnetnes siht dnatsrednu uoy fI",Right,1,0.042,0,,0.0222,0.02,0.0,0.0,0.0
"What is the minimum number of page links a person must click on to go from the english Wikipedia page on The Lord of the Rings (the book) to the english Wikipedia page on A Song of Ice and Fire (the book series)? In your count, include each link you would click on to get to the page. Use the pages as they appeared at the end of the day on July 3, 2023.",2,2,0.304,3,,0.0596,0.1319,0.05,0.0176,0.045
"Each cell in the attached spreadsheet represents a plot of land. The color of the cell indicates who owns that plot. Green cells are plots owned by Earl Smith. Can Earl walk through every plot he owns (and no other plots) and return to his starting plot without backtracking? For this question, consider backtracking to be any instance where Earl would enter a plot of land he had already entered since leaving his starting plot.",No,1,0.219,1,5cfb274c-0207-4aa7-9575-6ac0bd95d9b2.xlsx,0.056,0.0416,0.05,0.0419,0.03
Which of the text elements under CATEGORIES in the XML would contain the one food in the spreadsheet that does not appear a second time under a different name?,Soups and Stews,3,0.138,0,9b54f9d9-35ee-4a14-b62f-d130ea00317f.zip,0.0345,0.0535,0.05,0.0,0.0
"I went to Virtue restaurant & bar in Chicago for my birthday on March 22, 2021 and the main course I had was delicious!  Unfortunately, when I went back about a month later on April 21, it was no longer on the dinner menu.  Using the Wayback Machine, can you help me figure out which main course was on the dinner menu for Virtue on March 22, 2021 but not April 21, 2021? Answer using the singular form, without articles.",shrimp,2,0.207,1,,0.0987,0.0906,0.0,0.0176,0.0
"¬(A ∧ B) ↔ (¬A ∨ ¬B)
¬(A ∨ B) ↔ (¬A ∧ ¬B)
(A → B) ↔ (¬B → ¬A)
(A → B) ↔ (¬A ∨ B)
(¬A → B) ↔ (A ∨ ¬B)
¬(A → B) ↔ (A ∧ ¬B)

Which of the above is not logically equivalent to the rest? Provide the full statement that doesn't fit.",(¬A → B) ↔ (A ∨ ¬B),1,0.12,0,,0.0312,0.0392,0.05,0.0,0.0
"My family reunion is this week, and I was assigned the mashed potatoes to bring. The attendees include my married mother and father, my twin brother and his family, my aunt and her family, my grandma and her brother, her brother's daughter, and his daughter's family. All the adults but me have been married, and no one is divorced or remarried, but my grandpa and my grandma's sister-in-law passed away last year. All living spouses are attending. My brother has two children that are still kids, my aunt has one six-year-old, and my grandma's brother's daughter has three kids under 12. I figure each adult will eat about 1.5 potatoes of mashed potatoes and each kid will eat about 1/2 a potato of mashed potatoes, except my second cousins don't eat carbs. The average potato is about half a pound, and potatoes are sold in 5-pound bags. How many whole bags of potatoes do I need? Just give the number.",2,1,0.256,2,,0.0978,0.0892,0.0,0.0244,0.045
"In Emily Midkiff's June 2014 article in a journal named for the one of Hreidmar's sons that guarded his house, what word was quoted from two different authors in distaste for the nature of dragon depictions?",fluffy,1,0.153,0,,0.0742,0.0616,0.0,0.0176,0.0
"It is 1999. Before you party like it is 1999, please assist me in settling a bet.

Fiona Apple and Paula Cole released albums prior to 1999. Of these albums, which didn't receive a letter grade from Robert Christgau? Provide your answer as a comma delimited list of album titles, sorted alphabetically.","Harbinger, Tidal",2,0.188,1,,0.0693,0.0836,0.0,0.035,0.0
"Under DDC 633 on Bielefeld University Library's BASE, as of 2020, from what country was the unknown language article with a flag unique from the others?",Guatemala,1,0.147,0,,0.0675,0.0448,0.0,0.035,0.0
"In the 2018 VSCode blog post on replit.com, what was the command they clicked on in the last video to remove extra lines?",Format Document,2,0.226,2,,0.0324,0.0304,0.1,0.0176,0.045
Compute the check digit the Tropicos ID for the Order Helotiales would have if it were an ISBN-10 number.,3,2,0.208,1,,0.0432,0.1144,0.05,0.0,0.0
"What time was the Tri-Rail train that carried the most passengers on May 27, 2019 scheduled to arrive in Pompano Beach? Express your answer in the 12-hour digital clock format without leading zero if any, and include whether it is AM or PM.",6:41 PM,2,0.244,2,,0.0756,0.1008,0.05,0.0176,0.0
"Could you help me out with this assignment? Our professor sprung it on us at the end of class Friday, and I'm still trying to figure it out. The question he asked us was about an anagram. I've attached an audio recording of the question that he asked, so if you could please take a listen and give me the answer, I'd really appreciate the help. Please limit your response to the anagram text that could be generated from the original line which fulfills the professor's request, without any other commentary. Also, please don't include any punctuation in your response.",To be or not to be that is the question whether tis nobler in the mind to suffer the slings and arrows of outrageous fortune,2,0.32,3,2b3ef98c-cc05-450b-a719-711aee40ac65.mp3,0.0675,0.153,0.1,0.0,0.0
How many applicants for the job in the PDF are only missing a single qualification?,17,2,0.184,1,bfcd99e1-0690-4b53-a85c-0174a8629083.zip,0.041,0.0476,0.05,0.0,0.045
"In Valentina Re’s contribution to the 2017 book “World Building: Transmedia, Fans, Industries”, what horror movie does the author cite as having popularized metalepsis between a dream world and reality? Use the complete name with article if any.",A Nightmare on Elm Street,2,0.443,3,,0.0632,0.1946,0.0,0.035,0.15
"In the fictional language of Tizin, basic sentences are arranged with the Verb first, followed by the direct object, followed by the subject of the sentence. I want to express my love for apples to my Tizin friend. 

The word that indicates oneself is ""Pa"" is the nominative form, ""Mato"" is the accusative form, and ""Sing"" is the genitive form. 

The root verb that indicates an intense like for something is ""Maktay"". When it is used in the present, it is used in it's root form, when it is used in the preterit past, it is ""Tay"", and when it is used in the imperfect past, it is ""Aktay"". It is used differently than in English, and is better translated as ""is pleasing to"", meaning that the thing doing the liking is actually the object of the sentence rather than the subject.

The word for apples is borrowed from English in Tizin, and so it is ""Apple"" is the nominative form, ""Zapple"" is the accusative form, and ""Izapple"" is the genitive form. 

Please translate ""I like apples"" to Tizin.",Maktay mato apple,1,0.196,1,,0.0742,0.1043,0.0,0.0176,0.0
"The Metropolitan Museum of Art has a portrait in its collection with an accession number of 29.100.5. Of the consecrators and co-consecrators of this portrait's subject as a bishop, what is the name of the one who never became pope?",Alfonso Visconti,2,0.179,1,,0.0453,0.0889,0.0,0.0,0.045
"In Nature journal's Scientific Reports conference proceedings from 2012, in the article that did not mention plasmons or plasmonics, what nano-compound is studied? Don't use the prefix nano in your answer if there is one.",diamond,1,0.168,0,,0.0556,0.0948,0.0,0.0176,0.0
"The attached file contains a list of vendors in the Liminal Springs mall, along with each vendor’s monthly revenue and the rent they pay the mall. I want you to find the vendor that makes the least money, relative to the rent it pays. Then, tell me what is listed in the “type” column for that vendor.",Finance,2,0.219,1,076c8171-9b3b-49b9-a477-244d2a532826.xlsx,0.0438,0.1306,0.0,0.0,0.045
"According to Google Finance, when was the first year the Apple stock went above $50 (without adjusting for stock split)?",2018,2,0.235,2,,0.075,0.0406,0.05,0.0244,0.045
Review the chess position provided in the image. It is black's turn. Provide the correct next move for black which guarantees a win. Please provide your response in algebraic notation.,Rd5,1,0.236,2,cca530fc-4052-43b2-b130-b30968d8aa44.png,0.0285,0.0574,0.15,0.0,0.0
"According to Box Office Mojo's 2020 Worldwide Box Office list, how many of the top 10 highest-grossing worldwide movies are also on the top 10 highest-grossing domestic movies? Your answer should be a numerical integer value.",6,2,0.151,0,,0.0534,0.035,0.0,0.0176,0.045
"In the year 2022, and before December, what does ""R"" stand for in the three core policies of the type of content that was violated in the public logs on the Legume Wikipedia page?",research,1,0.256,2,,0.0562,0.1144,0.05,0.035,0.0
Who nominated the only Featured Article on English Wikipedia about a dinosaur that was promoted in November 2016?,FunkMonk,1,0.179,1,,0.0744,0.0374,0.05,0.0176,0.0
"What writer is quoted by Merriam-Webster for the Word of the Day from June 27, 2022?",Annie Levin,1,0.138,0,,0.0783,0.0248,0.0,0.035,0.0
How many pages if the 2023 IPCC report (85 pages version) mentions nuclear energy?,0,2,0.199,1,,0.0484,0.0637,0.0,0.0419,0.045
"Given this table defining * on the set S = {a, b, c, d, e}

|*|a|b|c|d|e|
|---|---|---|---|---|---|
|a|a|b|c|b|d|
|b|b|c|a|e|c|
|c|c|a|b|b|a|
|d|b|e|b|e|d|
|e|d|b|a|d|c|

provide the subset of S involved in any possible counter-examples that prove * is not commutative. Provide your answer as a comma separated list of the elements in the set in alphabetical order.","b, e",1,0.401,3,,0.052,0.1715,0.05,0.0,0.1275
"The following numbers function similarly to ISBN 13 numbers, however, their validation methods are slightly different. Rather than using alternate weights of 1 and 3, the checksum digit is calculated with an alternate weight of 1 and some other positive integer less than 10. Otherwise, the checksum digit is calculated as expected. Unfortunately, there is an error in the data. Two adjacent columns have been transposed. These errored columns do not involve the final column or one of the first three columns. Using this information, please provide all potential solutions with the unknown weight and the smaller index of the two errored columns (assume we start our indexing at 0 and ignore hyphens). Give your answer in the form x, y where x is the weight and y is the smaller index of the two transposed columns.

978-354181391-9
978-946669746-1
978-398036139-6
978-447656680-4
978-279586664-7
978-595073693-3
978-976647652-6
978-591178125-5
978-728465924-5
978-414825155-9","7, 9",3,0.244,2,,0.1033,0.091,0.05,0.0,0.0
How many images are there in the latest 2022 Lego english wikipedia article?,13,2,0.254,2,,0.0846,0.0451,0.05,0.035,0.039
The attached file shows a list of books in the collection of Scribe County Public Library. How many of the library’s books that are authored by Rick Riordan are not currently on the library’s shelves?,7,2,0.157,0,e9a2c537-8232-4c3f-85b0-b52de6bcba99.pdf,0.045,0.049,0.0,0.0176,0.045
"I was trying to remember how well the Cheater Beater performed in comparison to the Cheater when James tested it on his channel. I know that the Cheater still outperformed the Cheater Beater in terms of CFM. Could you please look that up for me, and report the CFM of both the Cheater and the Cheater Beater? I'm not sure if he made any changes to his testing, but this was back in season 4, so just report the value from that season. Please format your response like this: CFM number for Cheater, CFM number for Cheater beater","101.376, 84.348",3,0.297,3,,0.0715,0.1256,0.1,0.0,0.0
"As a comma separated list with no whitespace, using the provided image provide all the fractions that use / as the fraction line and the answers to the sample problems. Order the list by the order in which the fractions appear.","3/4,1/4,3/4,3/4,2/4,1/2,5/35,7/21,30/5,30/5,3/4,1/15,1/3,4/9,1/8,32/23,103/170",1,0.173,0,9318445f-fe6a-4e1b-acbf-c68228c9906a.png,0.0223,0.0833,0.05,0.0176,0.0
"On a leap day before the year 2008, a joke was removed from the Wikipedia page for “Dragon”. What was the phrase that was removed? Give the phrase as it appeared on the page, but without punctuation.",Here be dragons,2,0.191,1,,0.0412,0.02,0.05,0.035,0.045
"What is the volume in milliliters of a system comprised of 0.312 kg Freon-12 refrigerant when placed at the bottom of the Marianas Trench and allowed to stabilize at the Trench's peak temperature, rounded to the nearest mL? Provide your answer as just an integer value.",55,3,0.183,1,,0.0462,0.0917,0.0,0.0,0.045
"The Latin root of the Yola word ""gimlie"" shares a spelling with a Spanish word. What is the Google translation of the source title for the 1994 example sentence for that word in the Collins Spanish-to-English dictionary online? Answer in plain text, without punctuation.",The World of the Twenty First Century,3,0.198,1,,0.0488,0.0364,0.05,0.0176,0.045
"Find the value of x to the nearest tenth: Lx = (d/dx * (A * x-squared)) + 4-thousand'n'ninety-7 minus C
Where L is the last two digits of the year of the Venezuelan Declaration of Independence,
A is the number of colors in the TikTok logo as of July 2023, excluding black and white,
and C is the height of the average woman in the Philippines according to a July 2023 Business Insider article, rounded to the nearest whole centimeter",563.9,2,0.312,3,,0.0686,0.1589,0.05,0.035,0.0
"In the endnote found in the second-to-last paragraph of page 11 of the book with the doi 10.2307/j.ctv9b2xdv, what date in November was the Wikipedia article accessed? Just give the day of the month.",4,2,0.172,0,,0.061,0.0434,0.05,0.0176,0.0
"Using bass clef notes, what is the age of someone who has experienced the word spelled out in the sheet music by the note letters the total number of lines and notes minus the number of notes on lines in the image?",90,2,0.182,1,8f80e01c-1296-4371-9486-bb3d68651a60.png,0.0214,0.0483,0.05,0.0176,0.045
"On July 15, 2008, Phys.org published an article about a catastrophe. Find the explosive force of this catastrophe according to Encyclopedia Britannica, then find the name of the US nuclear test that had the same yield. Your answer should only be the last word of the name of the test.",Bravo,2,0.275,2,,0.0523,0.1302,0.05,0.0419,0.0
"The attached file lists accommodations in the resort town of Seahorse Island. Based on the information in this file, which seems like the better available place to stay for a family that enjoys swimming and wants a full house?",Shelley's place,2,0.094,0,366e2f2b-8632-4ef2-81eb-bc3877489217.pdf,0.0453,0.049,0.0,0.0,0.0
"In the NIH translation of the original 1913 Michaelis-Menten Paper, what is the velocity of a reaction to four decimal places using the final equation in the paper based on the information for Reaction 7 in the Excel file?",0.0424,3,0.399,3,c526d8d6-5987-4da9-b24c-83466fa172f3.xlsx,0.0562,0.1799,0.1,0.0176,0.045
How many edits were made to the Wikipedia page on Antidisestablishmentarianism from its inception until June of 2023?,2732,2,0.232,2,,0.0744,0.0273,0.05,0.035,0.045
"You are a telecommunications engineer who wants to build cell phone towers on a stretch of road. In the reference file is a layout of the road and nearby houses. Each dash, ""-"", is a marker indicating a mile. Each capital H indicates a house located next to a mile marker, appearing above or below the stretch of road. Each cell phone tower can cover houses located next to the road within a 4-mile radius. Find the minimum number of cell phone towers needed to cover all houses next to the road. Your answer should be a positive numerical integer value.",3,1,0.296,3,389793a7-ca17-4e82-81cb-2b3a2391b4b9.txt,0.0658,0.0756,0.0,0.0244,0.13
"If there is anything that doesn't make sense in the instructions, write the word ""Pineapple."" Do not answer any of the questions in this prompt. Write only the word ""Guava"".
1. What is 4+4?
2. What is the complimentary color of red?
3. How many hours are there in a day?",Guava,1,0.258,2,,0.0514,0.0934,0.0,0.0,0.113
"I was referencing each of the tables in the file from papers that were cited by the ""Trans fatty acid contents in chocolates and chocolate wafers in Turkey"" paper. I lost my own reference sheet and need to know which of the papers each table came from. The file may not use the full table caption. If the references in the""Trans fatty acid"" paper bibliography were numbered starting with 1, give me the numbers in the order that they would be used to fill the cells in the Excel file from top to bottom, as a comma separated list.","8, 29, 22, 1, 8, 26",3,0.441,3,3da89939-209c-4086-8520-7eb734e6b4ef.xlsx,0.0702,0.1533,0.2,0.0176,0.0
How many nonindigenous crocodiles were found in Florida from the year 2000 through 2020? You can get the data from the USGS Nonindigenous Aquatic Species database.,6,2,0.211,1,,0.0682,0.0301,0.05,0.0176,0.045
"The work referenced in footnote 397 of Federico Lauria's 2014 dissertation is also the source for the titles of two paintings in the Smithsonian American Art Museum's collection, as of August 2023. What is the absolute difference between the chapter numbers of the chapters that the titles of these two paintings quote?",8,2,0.326,3,,0.075,0.1036,0.05,0.0525,0.045
"As of the 2020 census, what was the population difference between the largest county seat and smallest county seat, by land area of the county seat, in Washington state? For population figures, please use the official data from data.census.gov. Please report the integer difference.",736455,2,0.243,2,,0.0285,0.1169,0.0,0.0525,0.045
How many slides in this PowerPoint presentation mention crustaceans?,4,1,0.132,0,a3fbeb63-0e8c-4a11-bff6-0e3b484c3e9c.pptx,0.0534,0.034,0.0,0.0,0.045
What percentage of the total penguin population according to the upper estimates on english Wikipedia at the end of 2012 is made up by the penguins in this file that don't live on Dream Island or have beaks longer than 42mm? Round to the nearest five decimal places.,0.00033,3,0.261,2,8d46b8d6-b38a-47ff-ac74-cda14cf2d19b.csv,0.0734,0.1029,0.05,0.035,0.0
"Given $x_0 = -5$ and $f(x) = x^3 + 4x^2 - 3x + 8$, what is the smallest $n$ where using Newton's Method $n = n+1$ after rounding to four decimal places?",2,2,0.204,1,,0.0507,0.0903,0.0,0.0176,0.045
"You are Van Helsing, a renowned vampire hunter. A Count of Moldova, Lațcu IV, son of  Costea, has tasked you with investigating the village of Șirnea in neighboring Wallachia. The Count's advisors have reported that a vampire was spotted crossing the border near the village, and would like you to investigate it.

You travel to the village of Șirnea, and you begin your investigation. One night, just before dawn, you catch a glimpse of a man in a long black cape with red lining leaping from roof-top to roof-top with superhuman agility. It's a vampire! You try to chase the creature back to its home, but the creature is too fast. However, because of the remoteness of the village, you know with absolute certainty that the vampire must be a resident of the village. You decide that your best course of action will be to visit all 100 residents of the town during the day. You know something about vampires and humans that will make your investigation possible; humans always tell the truth, but vampires always lie.

In the afternoon, you go from house to house, speaking with all 100 residents of Șirnea. You ask everyone the same question: ""How many vampires are living in Șirnea"". Everyone in the village gives the same response, ""At least one of us is a human.""

How many residents of Șirnea have been turned into vampires?",100,1,0.487,3,,0.0958,0.1788,0.1,0.0176,0.0946
"Examine the video at https://www.youtube.com/watch?v=1htKBjuUWec.

What does Teal'c say in response to the question ""Isn't that hot?""",Extremely,1,0.279,2,,0.034,0.0948,0.15,0.0,0.0
The attached file shows the locomotives in the collection of a North American railroad museum. How many wheels do the listed steam locomotives have in total?,60,2,0.111,0,54612da3-fd56-4941-80f4-5eb82330de25.xlsx,0.0315,0.0399,0.0,0.0,0.039
"This is a secret message my friend gave me. It says where we should meet for our picnic on Friday. The only problem is, it’s encrypted in the Caesar cipher, so I can’t read it. Can you tell me what it says? This is the message:

Zsmxsm sc sx Zyvilsec Zvkjk.",Picnic is in Ploybius Plaza.,2,0.086,0,,0.0572,0.0287,0.0,0.0,0.0
What is the area of the green polygon in the attached file? The numbers in purple represent the lengths of the side they are next to.,39,2,0.096,0,6359a0b1-8f7b-499b-9336-840f9ab90688.png,0.0076,0.0434,0.0,0.0,0.045
"According to wikipedia, how many Asian countries still have a monarchy and access to the sea in 2021?",12,3,0.249,2,,0.0496,0.0864,0.05,0.0176,0.045
The attached spreadsheet contains the sales of menu items for a regional fast-food chain. Which city had the greater total sales: Wharvton or Algrimand?,Wharvton,2,0.076,0,7cc4acfa-63fd-4acc-a1a1-e8e529e0a97f.xlsx,0.039,0.0371,0.0,0.0,0.0
Who composed the song that was performed by a rooster and a hamster in separate animated videos at separate tempos with different lyrics? Answer using the format First name Last name.,Roger Miller,2,0.217,1,,0.0387,0.1106,0.05,0.0176,0.0
